Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,IsAlone
1,0,1,0,0,0,Missing,0,0
2,1,0,0,0,0,Missing,0,1
3,1,1,3,0,0,Missing,0,0
3,0,0,1,3,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,1,1,3,2,2,C23 C25 C27,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,1,1,0,1,E31,0,0
3,0,1,1,2,0,Missing,0,0
3,0,2,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,2,0,0,0,A5,1,1
1,0,1,0,1,1,D10 D12,1,0
2,1,1,0,1,0,Missing,0,0
2,0,1,1,0,0,Missing,0,0
3,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,0
1,0,1,0,1,1,D26,0,0
3,0,1,0,0,0,Missing,0,0
3,0,1,2,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,2,0
1,0,1,0,0,1,C110,0,1
3,1,0,1,0,0,Missing,1,0
3,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,0,0
3,1,0,0,0,0,Missing,1,0
3,0,1,0,0,0,Missing,0,1
3,0,2,0,0,0,Missing,2,1
2,0,1,1,0,0,Missing,0,0
1,0,1,0,1,2,B58 B60,1,0
3,1,0,4,2,0,Missing,0,0
2,0,1,2,0,1,Missing,0,0
3,0,1,0,0,0,Missing,0,0
2,0,1,1,0,0,Missing,1,0
2,1,1,0,0,0,E101,0,0
1,0,2,0,1,1,D26,0,0
3,0,0,1,0,0,Missing,1,0
3,0,1,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,1
3,1,1,1,1,0,F E69,1,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,0,0
2,1,1,1,0,0,Missing,0,0
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,1,1
1,1,1,0,2,0,D47,0,1
1,0,1,1,0,1,C123,0,0
3,0,0,0,0,0,Missing,0,1
1,0,1,0,0,1,B86,1,1
3,1,1,0,2,0,Missing,1,0
3,1,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,2,1
2,0,0,0,0,0,Missing,0,0
2,0,1,1,1,0,Missing,0,1
3,0,1,0,0,0,Missing,0,0
3,1,0,2,2,0,Missing,0,0
2,0,1,0,2,0,F2,0,0
2,0,1,0,0,0,Missing,0,1
2,0,2,0,0,0,Missing,0,1
1,1,1,1,0,1,C2,0,0
3,0,2,0,0,0,Missing,0,1
3,0,1,0,2,0,Missing,0,0
3,0,1,0,0,0,Missing,0,0
1,0,2,0,1,1,Missing,1,0
3,1,0,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,8,2,1,Missing,0,0
3,0,1,0,1,0,Missing,0,0
2,1,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,0,0,0,0,0,Missing,0,0
3,0,0,4,1,0,Missing,0,0
3,0,0,0,2,0,Missing,0,0
1,1,1,0,1,1,E33,0,1
3,1,1,1,4,0,Missing,0,0
1,0,1,0,0,0,Missing,0,1
3,0,1,0,0,1,Missing,0,1
1,0,2,0,0,0,B19,0,1
3,0,0,4,1,0,Missing,2,0
3,1,0,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,0,2,0,0,0,A7,1,0
3,0,0,1,1,0,Missing,0,0
3,0,1,3,1,0,Missing,0,0
1,1,1,0,0,0,C49,1,1
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,1,8,2,1,Missing,0,0
2,0,1,0,0,0,Missing,1,1
3,0,0,4,2,0,Missing,0,0
2,0,0,2,1,0,F4,0,0
3,1,0,0,2,0,Missing,0,0
1,0,1,0,0,0,A32,0,1
3,1,1,1,0,0,Missing,2,0
1,0,1,0,0,0,Missing,0,1
3,0,1,1,1,0,Missing,2,0
3,0,1,0,0,0,Missing,0,1
2,1,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,0,1
2,0,0,1,1,0,F2,0,0
1,1,1,0,0,0,B4,1,0
1,1,2,0,0,2,B80,1,1
3,0,1,0,0,0,Missing,2,1
3,0,1,0,1,0,Missing,0,0
3,1,1,0,0,0,Missing,2,1
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,8,2,1,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,1,1
3,0,0,0,0,0,Missing,0,1
3,1,0,0,1,0,G6,0,0
3,0,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
3,1,0,0,0,0,Missing,2,0
1,0,1,0,0,0,A31,1,1
3,0,1,0,0,0,Missing,0,0
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,0,1,1,0,0,Missing,2,0
1,1,1,1,0,2,D36,1,0
3,1,1,0,0,0,Missing,0,1
2,0,1,1,0,0,Missing,0,0
1,1,1,0,0,1,D15,1,1
2,0,1,0,0,0,Missing,0,0
3,0,0,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,0,2,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,1,1,0,1,C93,0,0
3,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,0,0,0,0,0,Missing,0,1
3,1,1,3,1,0,Missing,0,0
1,1,1,1,0,1,C83,0,0
3,0,1,0,0,0,Missing,0,0
2,0,2,0,0,0,Missing,0,1
3,1,0,4,2,0,Missing,0,0
2,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,0,1
2,0,1,1,0,0,Missing,0,0
2,1,0,0,2,0,Missing,0,0
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,1,0
3,1,1,1,0,0,Missing,2,0
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,1,0
1,0,1,2,0,1,C78,2,0
3,1,1,0,0,0,Missing,0,1
2,1,1,0,2,0,Missing,0,0
1,0,1,1,1,1,D35,0,0
2,0,2,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,1,1,0,G6,0,0
1,0,2,0,0,0,C87,0,1
3,0,1,1,0,0,Missing,0,0
3,1,1,0,2,0,Missing,0,0
3,1,1,0,2,0,Missing,1,0
1,1,1,0,0,1,Missing,1,1
1,1,1,0,0,1,B77,0,1
1,1,1,0,0,2,Missing,1,1
2,1,1,0,1,0,Missing,0,1
3,0,1,0,0,0,Missing,2,0
3,0,0,4,2,0,Missing,0,0
1,0,2,1,1,1,E67,0,0
1,0,1,0,0,0,B94,0,1
3,1,1,0,0,0,Missing,2,1
2,0,1,0,0,0,Missing,0,1
3,0,0,4,1,0,Missing,0,0
3,0,1,1,0,0,Missing,0,1
1,1,2,0,1,2,C125,0,0
1,1,1,0,0,2,C99,0,1
1,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,1,1,0,1,0,Missing,0,0
1,0,1,0,1,0,C118,1,1
3,1,1,0,0,0,Missing,2,1
1,1,2,1,0,1,D7,0,0
3,1,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,0,0,4,1,0,Missing,2,0
3,1,1,1,1,0,Missing,0,0
3,0,2,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,0
3,0,0,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,A19,0,0
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,2,0
1,1,1,0,0,1,Missing,0,1
1,1,1,1,0,1,B49,1,0
2,0,1,0,0,0,D,1,1
3,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,1,1
1,1,0,1,2,2,C22 C26,0,0
1,0,1,0,0,0,C106,0,1
1,1,1,0,1,2,B58 B60,1,0
3,1,1,0,0,0,Missing,2,0
3,0,1,2,0,0,Missing,2,0
3,0,1,0,0,0,Missing,0,0
2,1,1,0,0,0,E101,2,0
3,0,1,0,0,0,Missing,0,0
1,0,0,1,2,2,C22 C26,0,0
1,1,1,0,0,2,Missing,1,0
1,1,0,1,0,2,C65,1,0
2,0,1,1,0,0,Missing,1,0
1,1,1,0,0,1,E36,1,1
1,1,1,0,0,1,C54,1,0
1,1,0,2,2,2,B57 B59 B63 B66,1,0
2,1,1,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
2,0,1,1,1,0,Missing,0,0
3,1,1,0,0,0,Missing,0,0
2,1,1,1,0,0,Missing,0,0
2,0,2,0,0,0,Missing,0,1
1,1,1,0,2,2,C7,0,0
1,1,1,1,1,2,E34,1,0
3,0,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
2,1,1,0,0,0,Missing,2,1
2,1,1,1,1,0,Missing,0,0
3,0,1,8,2,1,Missing,0,0
1,1,1,0,0,2,C32,1,1
3,0,2,0,0,0,Missing,0,1
2,1,1,0,0,0,D,0,1
3,1,1,1,1,0,Missing,0,0
1,1,0,0,1,1,B18,1,0
3,1,1,2,0,0,Missing,2,0
1,0,1,0,0,0,C124,0,1
1,0,1,0,1,2,C91,0,0
3,0,0,2,0,0,Missing,0,0
1,1,1,1,0,2,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,0,1,1,0,1,C2,0,0
1,1,1,0,0,2,E40,1,0
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,T,0,1
2,0,0,1,1,0,F2,0,0
1,1,1,3,2,2,C23 C25 C27,0,0
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,0
2,1,1,0,0,0,F33,0,0
2,1,1,0,0,0,Missing,0,0
3,1,1,1,0,0,Missing,0,0
3,0,0,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,C128,0,1
3,0,0,1,1,0,Missing,1,0
3,0,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,0,1
1,1,1,0,1,1,E33,0,1
2,1,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,2,1
3,1,1,0,0,0,Missing,2,1
3,0,1,1,4,0,Missing,0,0
2,0,1,1,0,0,Missing,1,0
3,1,1,0,1,0,Missing,1,0
3,0,1,0,0,0,Missing,0,1
3,0,1,1,0,0,Missing,2,0
3,0,1,0,0,0,Missing,0,1
1,1,2,1,0,1,D37,1,0
3,1,1,0,0,0,Missing,1,1
3,1,1,0,0,0,Missing,2,1
1,1,1,0,0,1,B35,1,1
1,0,1,1,0,1,E50,1,0
3,0,0,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,2,Missing,1,1
3,1,0,3,1,0,Missing,0,0
1,1,1,1,0,1,Missing,1,0
3,1,1,0,0,0,Missing,0,1
1,0,1,0,2,2,C82,1,0
3,0,1,0,0,0,Missing,1,0
3,0,1,0,0,0,Missing,0,0
1,1,1,0,0,2,Missing,1,1
3,1,0,0,2,0,Missing,1,0
3,0,1,0,0,0,Missing,0,1
1,1,1,1,0,1,Missing,0,0
3,0,1,0,0,0,Missing,0,1
2,0,0,0,0,1,Missing,0,0
3,0,0,5,2,0,Missing,0,0
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,2,1
2,1,0,0,0,0,Missing,1,1
1,0,1,1,2,2,B96 B98,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,2,0,0,Missing,0,0
1,1,1,1,0,2,D36,1,0
3,1,1,0,2,0,G6,0,0
3,0,1,0,0,0,Missing,0,0
3,1,1,0,0,0,Missing,0,0
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,0,0
3,0,1,1,0,0,Missing,0,0
3,1,1,0,0,0,Missing,0,0
2,0,1,1,0,0,Missing,0,0
3,0,2,0,0,0,Missing,0,1
2,0,0,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,3,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,2,0
1,1,1,1,0,1,C78,2,0
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,0,1
2,1,1,1,1,0,Missing,0,0
2,1,0,0,2,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,1,0,0,2,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,1
3,1,1,1,1,0,Missing,0,0
3,0,0,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
2,1,1,1,0,0,Missing,0,0
2,1,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,2,0
3,0,1,0,0,0,E10,0,1
1,0,1,0,0,0,C52,0,1
3,1,1,1,0,0,Missing,0,0
2,1,1,1,0,0,Missing,0,0
3,0,0,0,0,0,Missing,0,1
1,0,1,1,0,1,E44,0,0
1,1,0,1,2,2,B96 B98,0,0
3,1,1,2,2,0,Missing,0,0
2,1,1,2,3,0,Missing,0,0
1,0,2,1,4,2,C23 C25 C27,0,0
2,0,1,0,0,0,Missing,0,1
2,1,1,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,1,0,0,Missing,0,1
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,0,0,2,1,A34,0,0
2,1,0,0,1,0,Missing,0,0
1,0,1,0,0,0,Missing,0,1
3,1,0,2,1,0,Missing,1,0
1,0,2,0,0,0,C104,0,1
2,0,1,1,2,0,Missing,0,0
3,0,1,1,0,0,Missing,0,0
1,0,1,0,0,0,C111,1,1
1,0,1,1,0,1,C92,1,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,1,1
1,0,2,0,0,0,E38,0,1
1,1,1,1,0,1,D21,0,0
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,2,0
1,0,1,0,0,0,E12,0,1
3,0,1,0,0,0,Missing,0,0
1,0,1,0,0,0,E63,0,1
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
1,0,2,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,2,1
3,1,0,2,1,0,Missing,1,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,0
2,1,1,1,2,0,Missing,0,0
2,1,1,0,0,0,D,1,1
3,1,1,0,0,0,Missing,0,1
1,0,1,0,0,1,A14,0,1
2,0,1,1,0,0,Missing,0,0
3,0,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,0
3,1,0,0,1,0,Missing,0,0
3,0,0,5,2,0,Missing,0,0
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,2,0,0,0,Missing,0,1
1,0,1,1,0,1,B49,1,0
3,1,1,3,1,0,Missing,0,0
1,1,1,1,0,1,C93,0,0
1,0,2,0,0,0,B37,1,1
3,0,1,0,0,0,Missing,0,1
3,0,0,1,1,0,Missing,0,0
3,0,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,0,2,0,0,0,C30,0,1
1,0,2,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
1,1,2,1,0,1,D20,1,1
3,0,1,0,0,0,Missing,0,1
1,1,1,1,2,2,C22 C26,0,0
3,0,1,0,0,0,Missing,0,0
3,0,0,0,0,0,Missing,0,0
3,1,1,0,0,0,Missing,2,0
3,1,1,0,0,0,Missing,2,1
3,1,1,0,0,0,Missing,0,1
1,1,0,0,0,1,B79,0,1
1,0,0,1,0,2,C65,1,0
2,1,1,0,2,0,Missing,0,0
1,0,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,0
3,0,1,0,0,1,Missing,0,1
3,0,1,0,0,0,Missing,2,0
3,0,1,0,0,0,Missing,0,0
1,0,1,0,0,0,E25,0,1
1,1,2,1,0,1,Missing,1,0
3,0,1,0,0,0,Missing,0,0
1,0,1,0,0,0,D46,0,1
2,1,1,0,0,0,F33,0,1
3,0,1,0,0,0,Missing,2,0
2,1,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,1,1,0,0,1,B73,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,1,1
1,1,1,0,1,1,B18,1,0
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,2,1
2,1,1,0,0,0,Missing,0,1
1,0,1,0,0,2,C95,0,1
3,0,1,0,0,0,Missing,0,1
2,0,1,2,1,0,Missing,0,0
2,1,0,1,1,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
3,0,0,1,1,0,Missing,1,0
3,1,1,0,2,0,Missing,1,0
3,1,1,0,0,0,Missing,0,0
2,1,0,0,2,0,Missing,0,0
1,0,1,0,0,0,B38,0,1
1,1,1,0,0,2,Missing,1,1
3,0,1,0,0,0,Missing,0,0
1,1,1,0,2,0,B39,1,1
1,1,1,0,2,1,B22,0,0
3,1,0,4,2,0,Missing,0,0
3,1,0,4,2,0,Missing,0,0
2,0,1,1,0,0,Missing,0,0
1,0,1,1,0,2,C86,1,0
1,0,2,0,0,0,Missing,0,1
2,1,1,1,0,0,Missing,0,0
2,0,1,0,0,0,Missing,1,1
3,0,1,1,1,0,Missing,0,0
2,0,0,1,1,0,Missing,0,0
1,0,0,0,2,2,C70,1,0
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,2,0
3,0,1,0,0,0,Missing,1,1
3,1,1,0,0,0,Missing,0,1
1,0,2,0,0,0,Missing,0,0
1,1,1,1,0,0,A16,1,0
1,0,1,0,0,2,Missing,1,1
1,1,1,1,1,1,E67,0,0
3,1,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,0,1
3,0,1,2,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,0,4,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,0,0
2,0,2,0,0,0,Missing,0,0
1,1,2,2,0,1,C101,0,1
1,0,1,0,0,0,E25,0,0
3,1,1,0,0,0,Missing,2,0
3,0,0,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,1,1,0,0,0,Missing,0,1
1,1,1,1,0,1,E44,0,0
3,1,1,1,0,0,Missing,1,0
3,0,1,0,0,0,Missing,0,0
2,1,1,1,1,0,Missing,0,0
1,1,1,1,1,2,C68,1,0
2,0,2,0,0,0,Missing,0,1
1,0,1,0,0,0,A10,1,1
3,0,1,0,0,0,Missing,1,1
1,1,0,0,2,1,E68,0,0
2,0,1,0,0,0,Missing,0,1
1,0,2,1,1,1,B41,1,0
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,1,2,1,0,1,D20,1,1
3,0,1,0,0,0,Missing,0,1
3,1,1,0,2,0,Missing,2,0
2,0,1,1,0,0,Missing,0,0
3,0,1,1,1,0,Missing,0,0
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,1,0
1,0,1,1,0,1,A20,1,0
2,1,1,2,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,Missing,1,1
3,0,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,Missing,0,1
2,1,1,1,2,0,Missing,1,0
1,1,1,0,0,2,C125,0,1
3,1,1,1,5,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,1,0,0,Missing,2,0
3,0,1,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,1
2,1,1,1,2,1,Missing,0,0
3,0,1,1,1,0,Missing,0,0
3,1,1,1,0,0,Missing,0,0
2,1,0,2,1,0,F4,0,0
2,0,1,0,0,0,Missing,0,1
3,0,1,1,0,0,Missing,1,0
1,0,1,1,0,1,D19,0,0
3,0,1,1,1,0,Missing,1,0
3,0,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,0
1,0,2,0,0,0,D50,0,1
2,0,2,0,0,0,Missing,2,1
1,1,1,0,0,1,D9,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,2,1
1,0,2,0,0,0,A23,0,1
3,0,2,0,0,0,Missing,0,1
1,0,1,0,0,0,B50,1,1
1,0,1,0,0,0,Missing,0,1
3,1,0,3,2,0,Missing,0,0
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,0,1,1,1,0,Missing,0,0
3,1,1,0,5,0,Missing,0,0
3,0,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,0
1,1,1,0,0,1,B35,1,1
3,1,0,3,2,0,Missing,0,0
3,0,1,0,0,1,Missing,0,1
3,1,0,2,1,0,Missing,1,0
1,0,1,1,0,1,D33,1,0
3,0,1,0,0,0,Missing,0,0
1,0,2,0,0,0,A26,1,1
3,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
2,1,0,0,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,2,1
3,1,0,0,0,0,Missing,2,1
2,0,1,2,0,1,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,1,1,1,1,0,Missing,2,0
2,0,1,0,0,0,Missing,0,1
1,0,2,0,2,2,D48,1,0
1,0,1,2,0,2,Missing,0,0
3,0,1,0,0,0,Missing,1,1
1,0,1,0,0,0,E58,0,1
3,0,1,0,0,0,Missing,0,0
3,0,1,1,0,0,Missing,0,1
2,0,1,2,0,1,Missing,0,0
2,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,0
1,1,1,1,0,1,C126,0,0
2,1,1,1,1,0,Missing,0,0
1,0,1,1,0,1,B71,0,0
2,0,2,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,Missing,0,1
3,0,0,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,0,0,0,0,Missing,0,1
3,1,1,1,6,0,Missing,0,0
1,0,1,0,1,2,B51 B53 B55,1,0
3,1,1,0,0,0,Missing,2,1
1,0,1,0,0,1,D49,1,1
3,0,1,0,0,0,Missing,0,1
3,0,0,5,2,0,Missing,0,0
2,0,2,1,1,0,Missing,0,0
2,0,1,1,2,0,Missing,1,0
3,0,0,4,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
3,0,0,0,0,0,Missing,0,1
1,1,0,0,1,2,B5,0,1
1,0,1,1,0,1,B20,0,0
3,1,0,0,1,0,Missing,1,0
3,0,1,0,0,1,Missing,0,0
3,0,1,0,0,0,Missing,1,0
1,0,2,0,0,0,Missing,0,1
2,0,2,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,0,0
3,1,1,0,0,0,Missing,2,1
1,0,1,1,1,2,C68,1,0
3,0,1,0,0,0,F G63,0,1
